G-number,G-number Full,Value
0248.00,024800,z'i
0249.00,024900,UND
0250.00,025000,UND
0251.00,025100,ba
0251.01,025101,ba
0252.00,025200,UND
0253.00,025300,UND
0254.00,025400,la
0254.01,025401,UND
0255.00,025500,UND
0256.00,025600,UND
0257.00,025700,tuk'
0258.00,025800,UND
0259.00,025900,UND
0260.00,026000,UND
0261.00,026100,UND
0262.00,026200,UND
0263.00,026300,UND
0264.00,026400,nu
0265.00,026500,UND
0266.00,026600,pu
0266.01,026601,pu
0267.00,026700,UND
0267.01,026701,UND
0268.00,026800,UND
0268.01,026801,UND
0269.00,026900,UND
0270.00,027000,UND
0271.00,027100,UND
0272.00,027200,UND
0273.00,027300,UND
0274.00,027400,UND
0275.00,027500,UND
0276.00,027600,li
0277.00,027700,UND
0278.00,027800,sa
0279.00,027900,o
0279.01,027901,o
0279.02,027902,o
0280.00,028000,o
0281.00,028100,k'an
0282.00,028200,nu
0283.00,028300,si
0283.00,028300,sih
0284.00,028400,UND
0285.00,028500,UND
0286.00,028600,ta
0286.01,028601,ta
0287.00,028700,c'o
0287.01,028701,c'o
0288.00,028800,UND
0289.00,028900,UND
0290.00,029000,UND
0291.00,029100,UND
0292.00,029200,UND
0293.00,029300,UND
0294.00,029400,may
0295.00,029500,UND
0296.00,029600,o
0297.00,029700,UND
0298.00,029800,UND
0299.00,029900,zo
0300.00,030000,UND
0301.00,030100,bi
0301.00,030100,be
0302.00,030200,lala
0302.00,030200,lal
0303.00,030300,UND
0304.00,030400,UND
0305.00,030500,UND
0306.00,030600,UND
0307.00,030700,UND
0308.00,030800,UND
0308.01,030801,li
0309.00,030900,UND
0310.00,031000,UND
0311.00,031100,UND
0312.00,031200,UND
0313.00,031300,UND
0314.00,031400,al
0314.01,031401,al
0315.00,031500,to
0316.00,031600,UND
0317.00,031700,UND
0318.00,031800,UND
0319.00,031900,hax
0320.00,032000,UND
0321.00,032100,UND
0322.00,032200,UND
0323.00,032300,UND
0324.00,032400,nab
0325.00,032500,UND
0326.00,032600,UND
0326.01,032601,UND
0327.00,032700,UND
0327.01,032701,UND
0328.00,032800,UND
0329.00,032900,na
0330.00,033000,UND
0331.00,033100,UND
0332.00,033200,UND
0333.00,033300,c'ak
0334.00,033400,UND
0335.00,033500,wa
0336.00,033600,UND
0337.00,033700,UND
0338.00,033800,UND
0339.00,033900,UND
0340.00,034000,zu
0341.00,034100,UND
0342.00,034200,li
0343.00,034300,UND
0344.00,034400,UND
0345.00,034500,o
0346.00,034600,o
0347.00,034700,UND
0348.00,034800,UND
0349.00,034900,UND
0350.00,035000,UND
0351.00,035100,UND
0352.00,035200,UND
0353.00,035300,UND
0354.00,035400,UND
0355.00,035500,UND
0356.00,035600,z'a
0357.00,035700,UND
0358.00,035800,UND
0359.00,035900,nal
